model_id,model,feature_dim,parameters_M,common_head,library
mobilenet_v3_small,MobileNetV3-Small,576,1.355169,"BatchNorm1d(in_features) -> Linear(in_features,512) -> ReLU -> Dropout(0.5) -> Linear(512,256) -> Dropout(0.3) -> Linear(256,1)",torchvision
mobilenet_v2,MobileNetV2,1280,3.013889,"BatchNorm1d(in_features) -> Linear(in_features,512) -> ReLU -> Dropout(0.5) -> Linear(512,256) -> Dropout(0.3) -> Linear(256,1)",torchvision
efficientnet_b0,EfficientNet-B0,1280,4.797565,"BatchNorm1d(in_features) -> Linear(in_features,512) -> ReLU -> Dropout(0.5) -> Linear(512,256) -> Dropout(0.3) -> Linear(256,1)",torchvision
densenet201,DenseNet201,1920,19.211905,"BatchNorm1d(in_features) -> Linear(in_features,512) -> ReLU -> Dropout(0.5) -> Linear(512,256) -> Dropout(0.3) -> Linear(256,1)",torchvision
resnet50,ResNet50,2048,24.692801,"BatchNorm1d(in_features) -> Linear(in_features,512) -> ReLU -> Dropout(0.5) -> Linear(512,256) -> Dropout(0.3) -> Linear(256,1)",torchvision
vgg16,VGG16,25088,27.742017,"BatchNorm1d(in_features) -> Linear(in_features,512) -> ReLU -> Dropout(0.5) -> Linear(512,256) -> Dropout(0.3) -> Linear(256,1)",torchvision
convnext_tiny,ConvNeXt-Tiny,768,28.346977,"BatchNorm1d(in_features) -> Linear(in_features,512) -> ReLU -> Dropout(0.5) -> Linear(512,256) -> Dropout(0.3) -> Linear(256,1)",timm
swin_tiny_patch4_window7_224,Swin-T,768,28.046203,"BatchNorm1d(in_features) -> Linear(in_features,512) -> ReLU -> Dropout(0.5) -> Linear(512,256) -> Dropout(0.3) -> Linear(256,1)",timm
vit_base_patch16_224,ViT-B/16,768,86.325505,"BatchNorm1d(in_features) -> Linear(in_features,512) -> ReLU -> Dropout(0.5) -> Linear(512,256) -> Dropout(0.3) -> Linear(256,1)",timm
