model_id,model,parameters_M,gpu_ms,pytorch_cpu_ms,onnx_ms,onnx_size_MB,onnx_max_abs_error,onnx_path,gpu_fps,onnx_fps_proxy
mobilenet_v3_small,MobileNetV3-Small,1.355169,5.609267650002039,11.617665040000702,2.039218439999786,5.187464714050293,4.76837158203125e-07,/kaggle/working/models/mobilenet_v3_small_benchmark.onnx,178.27639228440748,490.38395317772085
mobilenet_v2,MobileNetV2,3.013889,5.5481788499992035,22.10676121000006,5.262019849999433,11.486239433288574,1.9073486328125e-06,/kaggle/working/models/mobilenet_v2_benchmark.onnx,180.23932303482675,190.04109230034695
efficientnet_b0,EfficientNet-B0,4.797565,7.952748069999416,33.08141123000041,9.579645900000742,18.31027603149414,4.649162292480469e-06,/kaggle/working/models/efficientnet_b0_benchmark.onnx,125.74269814636206,104.38799204466656
densenet201,DenseNet201,19.211905,24.0179847100012,147.7896190699994,57.19148335999989,74.35690402984619,4.76837158203125e-07,/kaggle/working/models/densenet201_benchmark.onnx,41.635466591982436,17.485120882515993
resnet50,ResNet50,24.692801,6.294934810000541,80.19838672000105,40.193185359999006,94.13750171661377,4.76837158203125e-06,/kaggle/working/models/resnet50_benchmark.onnx,158.85788021368154,24.879839481327057
vgg16,VGG16,27.742017,8.652351480000107,172.19072450999877,136.02650118000156,106.02779960632324,5.21540641784668e-07,/kaggle/working/models/vgg16_benchmark.onnx,115.57551751237776,7.351508649602896
convnext_tiny,ConvNeXt-Tiny,28.346977,9.469561620001059,73.83804004000012,61.08434185000078,108.22751808166504,5.960464477539062e-07,/kaggle/working/models/convnext_tiny_benchmark.onnx,105.6015093547581,16.370807472324223
swin_tiny_patch4_window7_224,Swin-T,28.046203,17.19104711,99.68091643999969,82.46539158000132,109.66606330871582,0.0,/kaggle/working/models/swin_tiny_patch4_window7_224_benchmark.onnx,58.169813252288854,12.12629905516037
vit_base_patch16_224,ViT-B/16,86.325505,17.70054046000041,207.70287863000019,180.70628860999932,329.42662715911865,1.1920928955078125e-06,/kaggle/working/models/vit_base_patch16_224_benchmark.onnx,56.49545008299576,5.533841725664579
