reference,model_id,b_ref_correct_other_wrong,c_ref_wrong_other_correct,p_raw,p_holm
mobilenet_v3_small,mobilenet_v2,11,5,0.210113525390625,1.0
mobilenet_v3_small,efficientnet_b0,10,5,0.3017578125,1.0
mobilenet_v3_small,densenet201,5,5,1.0,1.0
mobilenet_v3_small,resnet50,7,4,0.548828125,1.0
mobilenet_v3_small,vgg16,5,2,0.453125,1.0
mobilenet_v3_small,convnext_tiny,3,5,0.7265625,1.0
mobilenet_v3_small,swin_tiny_patch4_window7_224,4,4,1.0,1.0
mobilenet_v3_small,vit_base_patch16_224,2,5,0.453125,1.0
